Line,Context,English,Chinese,Actor
98,002:LS#0212,"Fujitsu Towns\015 Edition by\255\001Jim Leiterman, Jenny Sward and Sean Clark","Fujitsu Towns\015 Edition by\255\001Jim Leiterman, Jenny Sward and Sean Clark",
99,002:LS#0213,Lead Tester\255\001Kirk Roulston\255\001\255\001Fujitsu Towns\015 Lead Tester\255\001Jon Van,Lead Tester\255\001Kirk Roulston\255\001\255\001Fujitsu Towns\015 Lead Tester\255\001Jon Van,
100,002:LS#0214,"Testers\255\001Bret Barrett, Terry Bratcher, Tom Canham,\255\001Eric Christensen, Carla Green, Jon Gubman,\255\001Tony Hsieh, Tim Huber, Eric Liu","Testers\255\001Bret Barrett, Terry Bratcher, Tom Canham,\255\001Eric Christensen, Carla Green, Jon Gubman,\255\001Tony Hsieh, Tim Huber, Eric Liu",
101,002:LS#0215,"Testers\255\001Judith Lucero Turchi, Ezra Palmer-Persen,\255\001Alice Rosen, Jenny Sward, Aileen Treadwell,\255\001Dave Popovich, Steven Saunders, Maniac Maxo,\255\001Aaron Muszalski, James Hampton\255\001Marc Cartwright and Jo Ashburn","Testers\255\001Judith Lucero Turchi, Ezra Palmer-Persen,\255\001Alice Rosen, Jenny Sward, Aileen Treadwell,\255\001Dave Popovich, Steven Saunders, Maniac Maxo,\255\001Aaron Muszalski, James Hampton\255\001Marc Cartwright and Jo Ashburn",
102,002:LS#0216,\255\001Produced by Gregory D. Hammond\255\001\255\001Fujitsu Towns\015 Project Directed by\255\001Douglas Crockford\255\001The guy in the white coat!,\255\001Produced by Gregory D. Hammond\255\001\255\001Fujitsu Towns\015 Project Directed by\255\001Douglas Crockford\255\001The guy in the white coat!,
103,002:LS#0217,"Thanks to Noah Falstein, David Fox,\255\001Akila J. Redmer, James Wood, Andrea Siegel\255\001and Orson Scott Card","Thanks to Noah Falstein, David Fox,\255\001Akila J. Redmer, James Wood, Andrea Siegel\255\001and Orson Scott Card",
104,002:LS#0218,\255\001Special Thanks to George Lucas,\255\001Special Thanks to George Lucas,
105,002:LS#0219,\255\001A Lucasfilm Games]^ Production,\255\001A Lucasfilm Games]^ Production,
106,002:LS#0220,"Created and Produced at Skywalker Ranch\255\001Marin County, California\255\001\255\001Additional programming in San Rafael\255\001and Soulsbyville","Created and Produced at Skywalker Ranch\255\001Marin County, California\255\001\255\001Additional programming in San Rafael\255\001and Soulsbyville",
107,002:LS#0221,]^ & >* 1990 LucasArts Entertainment Co.\255\001All rights reserved.,]^ & >* 1990 LucasArts Entertainment Co.\255\001All rights reserved.,
108,002:SC#0044,"Rise, son of Cygna.",起來，西格娜之子。,
109,002:SC#0044,It is the dawn of your\255\001seventeenth year.,你十七歲生日的曙光已經來臨。,
110,002:SC#0044,I am sent by the Elders\255\001to summon you.,長老派我來召喚你。,
111,002:SC#0044,The High Council awaits your\255\001presence in the Sanctuary.,長老會正在聖域等候您。,
112,002:SC#0044,A messenger nymph!,一個使者仙女！,Bobbin
113,002:SC#0044,Never seen one so bright before.,從未見過如此明亮的！,Bobbin
114,002:SC#0044,One of the Elders must've woven it.,它一定是某位長老編織的。,Bobbin
115,002:SC#0044,Better get down to the village.,最好還是回村子裡,Bobbin
116,002:SC#0049,Once was plenty for me.,對我來說一次就夠了。,Bobbin
117,002:SC#0049,Is it over now?,結…結束了嗎？,Bobbin
118,003:ON#0165,sky,天,
119,003:OC#0165,The view from the cliff is better.,從懸崖上看風景更好。,Bobbin
120,003:OC#0165,Think I'll have to get closer first.,我想…我得更靠近一點。,Bobbin
121,004:ON#0175,owl,鴞,
122,004:OC#0175,Sound asleep.,睡著了。,Bobbin
123,004:OC#0175,That draft won't work on an owl.,這織法對鴞不起作用。,Bobbin
124,004:ON#0176,thorns,荊棘,
125,004:OC#0176,Ouch!,哎喲!,Bobbin
126,004:OC#0176,They're about as open as thorns can get.,這要是叫『敞開』，那荊棘就沒刺了。,
127,004:OC#0176,They're about as closed as thorns can get.,完全封死了，就跟刺藤一樣密不透風。,
128,004:OC#0176,That draft won't work on thorns.,這織法對荊棘不起作用。,
129,004:ON#0171,hole,洞,
130,004:ON#0172,hole,洞,
131,004:ON#0173,hole,洞,
132,004:ON#0174,hole,洞,
133,004:ON#0177,grave,墳墓,
134,004:OC#0177,I can't read this gravestone.,我看不懂這塊墓碑。,
135,004:OC#0177,The owl's tail feathers are\255\001blocking my view.,鴞的尾羽擋住了視線。,
136,004:OC#0177,"Already done, I guess.",我想…已經完成了。,
137,004:OC#0177,That draft won't work on a grave.,這織法不適用於墳墓。,
138,004:ON#0197,sky,天,
139,004:OC#0197,The view from the cliff is better.,從懸崖上看風景更好。,
140,004:OC#0197,Think I'll have to get closer first.,我想…我得先靠近一點。,
141,004:EN#0004,+The day the sky is opened./ Hmm.,『當天空打開時』… 嗯…,
142,004:LS#0200,There's an owl in there!,裡面有一隻鴞！,
143,004:LS#0200,This hole has an owl too.,這個洞裡還有一隻鴞。,
144,004:LS#0200,Another owl! The woods must be full of 'em.,又一隻鴞！樹林裡一定到處都是它們。,
145,004:LS#0200,Looks as if all the holes are full now.,現在看起來好像所有的洞都填滿了。,
146,004:LS#0200,This hole is empty.,這個洞是空的。,
147,004:LS#0200,Still there.,還在那裡。,
148,004:LS#0200,Hasn't left yet.,還沒離開呢,
149,004:LS#0200,It's still in there.,它仍然在那裡。,
150,004:LS#0200,Still empty.,還是空的。,
151,004:LS#0202,Poor little fella.,可憐的小傢伙。,
152,004:LS#0206,That draft won't work on the hole.,這織法對這個洞不起作用。,
153,004:LS#0207,The hole's already wide open.,洞口已經大開。,
154,004:LS#0208,Whatever lives in the hole\255\001might not like that.,洞裡住著的生物可能不會喜歡這樣。,
155,004:LS#0209,Maybe I'd better not try that.,也許…我最好別嘗試這樣做。,
156,006:ON#0206,wool,羊毛,
157,006:OC#0206,Grassy green. Hate that color.,草綠色…真討厭。,
158,006:OC#0206,Green again. Yuck.,又綠了…真噁心。,
159,006:OC#0206,Looks better in white.,還是白色的比較好看,
160,006:ON#0207,wool,羊毛,
161,006:OC#0207,Yuck. I hate green.,噁心…我討厭綠色。,
162,006:OC#0207,This wool hasn't been dyed yet.,這羊毛還沒染色。,
163,006:OC#0207,White again. That's more like it.,又變白了。這樣好多了。,
164,006:ON#0210,heap,堆,
165,006:OC#0210,Green. My least favorite color.,綠色的…我最不喜歡的顏色。,
166,006:OC#0210,This pile still needs dyeing.,這堆還需要染色。,
167,006:OC#0210,I like it better in white.,我比較喜歡白色的。,
168,006:ON#0211,cloth rack,布架,
169,006:OC#0211,Ugly green.,醜陋的綠色,
170,006:OC#0211,Ugly green again.,又是醜綠…,
171,006:OC#0211,White's an improvement.,還是白色好,
172,006:ON#0214,flask,燒瓶,
173,006:OC#0214,That draft won't work on a flask.,該織法不適用於燒瓶。,
174,006:ON#0205,dye pot,染鍋,
175,006:OC#0205,The pot doesn't have a cover.,鍋子沒有蓋。,
176,006:OC#0205,That draft won't work on a pot.,該織法不適用於鍋子。,
177,006:ON#0209,book,書,
178,006:OC#0209,This is the Book of Patterns that\255\001Hetchel lets me read sometimes.,這是赫切爾有時會讓我翻閱的《織圖之書》。,Bobbin
179,006:OC#0209,Better take it with me.,最好隨身帶著。,Bobbin
180,006:OC#0209,It's already closed.,已經關起來了,Bobbin
181,006:OC#0209,I already know what's in it.,我已經知道裡面有什麼了。,Bobbin
182,006:OC#0209,That draft won't work on a book.,該織法不適用於一本書。,
183,006:LS#0200,I changed the color!,我改了顏色！,Bobbin
184,006:LS#0201,It's bubbling.,它正在冒泡。,Bobbin
185,006:LS#0211,It's plenty green enough already.,已經夠綠了。,Bobbin
186,006:LS#0212,It already looks about as pale\255\001as it can get.,它看起來已經蒼白到極致了。,
187,006:LS#0215,Oops!,糟!,
188,006:LS#0215,Still dripping. What a mess.,還在滴水…真是一團糟。,
189,006:LS#0216,That draft won't work on wool.,該織法不適用於羊毛。,
190,008:ON#0256,tapestry,掛毯,
191,008:OC#0256,The threads describe the creation of the world\255\001and the passage of the Two Shadows.,這些線索描述了\255\001世界的創造\255\001以及兩個陰影的出現。,
192,008:OC#0256,This tapestry describes the world's creation\255\001and the passage of the Two Shadows.,這幅掛毯描述了\255\001世界的創造\255\001以及兩個陰影的經過。,
193,008:ON#0257,tapestry,掛毯,
194,008:OC#0257,"The pattern shows the rise of the Guilds,\255\001and the story of the Weavers' founding.",此圖案顯示了公會的崛起，\255\001以及織者創立的故事。,
195,008:OC#0257,"This tapestry shows the rise of the Guilds,\255\001and the story of the Weavers' founding.",這幅掛毯展示了公會的崛起，\255\001以及織者創立的故事。,
196,008:ON#0258,tapestry,掛毯,
197,008:OC#0258,This is the last section of\255\001the Long Tapestry.,這是長掛毯的最後一節。,
198,008:OC#0258,"It illustrates the decline of the Guilds,\255\001and the gathering of a Third Shadow.",它說明了工會的衰落，\255\001以及第三個陰影的聚集。,
199,008:OC#0258,Odd. The end of this tapestry\255\001is torn completely off.,奇怪的。這幅掛毯的結尾\255\001被完全撕掉了。,
200,008:LS#0204,This is a section of the Long Tapestry.,這是長掛毯的一部分。,
201,008:LS#0205,Here's another section of\255\001the Long Tapestry.,這是另一部分\255\001長掛毯。,
202,008:LS#0208,This tapestry's already as colorful\255\001as it can get.,這幅掛毯的色彩已經非常豐富了。,
203,008:LS#0209,I've already spun all the green out.,我已經把所有的綠色都揮霍光了。,
204,008:LS#0209,Doubt if I could spin much color\255\001out of it now.,我現在恐怕很難從中再提出什麼顏色了。,
205,008:LS#0210,That draft won't work on a tapestry.,此織法不適用於掛毯。,
206,008:LS#0217,I changed the color!,我改了顏色！,
207,008:SC#0046,Looks as if the Elders are busy.,看來長老們很忙。,
208,008:SC#0046,Hm... Wouldn't want to interrupt ...,嗯…我最好先別打擾……,
209,008:SC#0046,"You have heard the findings of the\255\001High Council, Dame Hetchel.",海切爾夫人，\255\001妳已知道委員會的調查結果了吧！,
210,008:SC#0046,What have you to say in your defense?,對於這些指控，妳有何話要為自己辯護？,
211,008:SC#0046,"I have no defense or excuses,\255\001Elder Atropos.",我沒有任何辯護或藉口，\255\001阿特羅波斯長老。,
212,008:SC#0046,My actions speak for themselves.,我的行動勝於雄辯。,
213,008:SC#0046,No defense? Not the slightest remorse?,沒有藉口？沒有絲毫的悔恨嗎？,
214,008:SC#0046,This reckless defiance is intolerable.,這種魯莽的反抗是無法容忍的。,
215,008:SC#0046,"Why do you disobey us, Hetchel?",海切爾，你為何違抗我們的命令？,
216,008:SC#0046,You have always upheld the\255\001Rules of Membership to the letter.,你一直嚴格遵守織者的規則。,
217,008:SC#0046,Tell us what is in your heart.,告訴我們妳內心的想法。,
218,008:SC#0046,"The boy must be told\255\001the truth about his\255\001birth, Elder Clothos.",克洛托斯長老，\255\001必須告訴這孩子\255\001關於他身世的真相。,
219,008:SC#0046,His talent awakens!,他的天賦覺醒了！,
220,008:SC#0046,"Soon he will wield\255\001the power of Weaving,\255\001whether we choose\255\001to guide him or not.",不久之後，\255\001無論我們是否選擇引導他，\255\001他都將掌握織網之力。,
221,008:SC#0046,We dare not desert Bobbin now.,我們現在不該放逐波賓。,
222,008:SC#0046,Stubborn old fool!,老頑固！,
223,008:SC#0046,The secrets you reveal to Cygna's son\255\001may be turned against us.,你向西格娜的兒子透露的秘密\255\001可能會被用來對付我們。,
224,008:SC#0046,That is why his training was\255\001forbidden by this Council!,這就是為什麼公會\255\001會禁止訓練他！,
225,008:SC#0046,"Enough, Lachesis.",夠了，拉克西斯。,
226,008:SC#0046,We need not explain our decisions.,我們無需解釋我們的決定。,
227,008:SC#0046,It grieves me to see\255\001your many years of\255\001faithful service\255\001end in this disgrace.,看到你多年來的忠誠服務\255\001以這種恥辱的方式結束\255\001我感到非常悲痛。,
228,008:SC#0046,But the wisdom of\255\001the Elders may not\255\001be questioned.\255\001\255\001That is the\255\001final Rule of\255\001Membership.,但長老們的智慧不容置疑\255\001這是高於一切的最終規則！,
229,008:SC#0046,"Another one of your\255\001students, Lady Cygna,\255\001learned the terrible\255\001price of defiance in\255\001this very chamber\255\001seventeen years ago.\255\001\255\001Better that\255\001you had heeded\255\001that lesson.",妳的另一位學生－西格娜女士\255\001十七年前就在這間房間裡\255\001領悟到了違抗的可怕代價\255\001妳最好能記得那個教訓。,
230,008:SC#0046,"My destiny is in your hands, Elders.",我的命運掌握在你們的編織中，長老們。,
231,008:SC#0046,"Our hands are empty, Hetchel.",海切爾，我們並沒有掌握什麼。,
232,008:SC#0046,Gaze once more upon the Great Loom\255\001if you would know your destiny.,如果你想知道自己的命運\255\001就再凝視一次那巨大的織機吧,
233,008:SC#0046,For behold! That destiny is upon you.,看哪！讓織機展現你的命運吧！,
234,008:SC#0046,A swan's egg. Curious destiny.,天鵝蛋！？奇妙的命運。,
235,008:SC#0046,That draft has never failed before.,這個織法過去從未失靈過。,
236,008:SC#0046,Hark!,聽著,
237,008:SC#0046,I heard a cry. Outside!,我聽見外頭有喊叫聲！,
238,008:SC#0046,The Guild is under attack!,公會受到攻擊！,
239,008:SC#0046,Who dares to desecrate the\255\001Loom of the Weavers?,誰竟敢褻瀆\255\001織者的織機？,
240,008:SC#0046,This is the work of the demon boy.,這是那個惡魔之子的傑作。,
241,008:SC#0046,"Kill it while you still can, Atropos!",阿特羅波斯，趁現在還來得及，殺了他！,
242,008:SC#0046,"Cursed forever be the name of Cygna's son,\255\001the Loom-Child ... Bobbin Threadbare!",西格娜之子的名字\255\001將永生永世遭到詛咒\255\001織機之子……波賓·疏織！,
243,008:SC#0046,"Oh, wonderful.",哦，太棒了……,Bobbin
244,008:SC#0046,Everyone's flown away!,所有人都飛走了！,Bobbin
245,008:SC#0046,No explanations. No goodbyes.,沒有解釋…也沒有道別……,Bobbin
246,008:SC#0046,Why do they always leave me behind?,為什麼他們總是把我丟下？,Bobbin
247,009:ON#0270,egg,蛋,
248,009:OC#0270,That draft won't work on an egg.,這織法對蛋不管用。,Bobbin
249,009:ON#0271,distaff,織杖,
250,009:OC#0271,Feels heavier than it looks.,比看起來的更重。,Bobbin
251,009:ON#0272,loom,織機,
252,009:OC#0272,That draft won't work on the Loom.,這織法對織機不管用。,Bobbin
253,009:ON#0273,Hetchel,海切爾,
254,009:OC#0273,"Strange. Her beak is moving, but\255\001she can't make a sound!",奇怪的。她的喙在動\255\001但是她發不出聲音！,
255,009:OC#0273,Poor Hetchel.,可憐的海切爾,
256,009:OC#0273,That didn't help. She must be under\255\001some kind of magic spell.,那沒有用\255\001她一定是被下了某種魔法咒語,
257,009:ON#0274,feather,羽毛,
258,009:ON#0275,Dead One,死者,
259,009:LS#0209,It's quiet. The echoes in the Loom\255\001have all died away.,很安靜。織機中的迴聲\255\001都已經消失了。,
260,009:LS#0209,Those are the same four threads\255\001the swan spun on the Elders.,「那就是天鵝對長老們施展的同一個四音符織法。」,
261,009:LS#0209,Those are the same four threads\255\001I heard a few moments ago.,那跟我剛才聽到的那四個音符一模一樣。,
262,009:LS#0209,They're still echoing in the Loom!,它們還在織機中迴盪！,
263,009:LS#0213,It's trying to open!,它正在嘗試打開！,
264,009:LS#0214,That egg just made a sound.,那顆蛋剛剛發出聲音。,
265,009:LS#0214,The egg is opening!,蛋要開了！,
266,009:LS#0216,"Do not approach too closely, Weaver.",不要太靠近，織者。,
267,009:LS#0221,"Throw away that stick, young fool.",扔掉那根棍子，菜鳥。,
268,009:LS#0221,Your Weaver magic cannot trouble me.,你的編織魔法，對我不管用。,
269,009:LS#0222,Hmm. That didn't do her any good.,唔。這對她沒有任何好處。,
270,009:LS#0223,Thank goodness! I can talk again!,謝天謝地！我又可以說話了！,
271,009:LS#0223,Ducks are meant to be eaten. Not heard.,鴨子是拿來吃的，不是聽的。,
272,009:LS#0223,I believe we were discussing\255\001the secrets of the Loom.,我相信…我們正在討論織機的秘密。,
273,009:LS#0224,"Begone from this chamber, Evil One.\255\001The Loom shall never be yours!",離開這個房間，邪惡之人。\255\001織機永遠不會屬於你！,
274,009:LS#0224,This boy holds the power to destroy it!,這個男孩擁有毀滅它的力量！,
275,009:LS#0224,I do?,我會?,
276,009:LS#0224,"Ssh! Close your eyes now, little Bobbin.\255\001But keep your ears open!",噓！現在閉上眼睛，小波賓。\255\001但請保持警覺！,
277,009:LS#0224,Here descends the Third Shadow!,第三個陰影降臨了！,
278,009:LS#0224,So much for distractions.,好吧，分散注意這招沒用。,
279,009:LS#0226,"Unmake the Loom, Bobbin! Quickly!",波賓快拆掉織機！,
280,009:LS#0226,I can't distract this creature\255\001much longer!,我無法再分散這傢伙的注意力了！,
281,009:LS#0226,"I need the threads, Mother Hetchel!\255\001Tell me which four to use!",我需要這些音符線，海切爾媽媽！\255\001告訴我要使用哪四個！,
282,009:LS#0231,This bird has annoyed me once too often.,這隻鳥常常惹惱我。,
283,009:LS#0233,Mother Hetchel! Where are you going?,海切爾媽媽！妳要去哪？,
284,009:LS#0233,To follow the swans!,追隨天鵝！,
285,009:SC#0047,Thank goodness you're still here.,謝天謝地你還在這裡。,
286,009:SC#0047,Mother Hetchel? Is that you?,海切爾媽媽？是妳嗎？,
287,009:SC#0047,You know perfectly well it's me.\255\001I saw you watching us.,你很清楚是我。\255\001我看到你在看著我們。,
288,009:SC#0047,"What's been happening here, Hetchel?\255\001The whole village has flown away!",這裡發生了什麼事，海切爾？\255\001所有人都飛走了！,
289,009:SC#0047,I'd hoped the swan might come\255\001to save you.,我以為天鵝會來救你。,
290,009:SC#0047,But I never expected her to weave\255\001as much mischief as this!,但我萬萬沒想到牠會惹出這麼多麻煩！,
291,009:SC#0047,Save me? From what?,救我嗎？為什麼？,
292,009:SC#0047,"From the Elders.\255\001\255\001They were going to turn\255\001you into a swan, as they\255\001tried to do to me.",長老們原本打算把你變成天鵝\255\001就像他們對我做的那樣。,
293,009:SC#0047,Looks as if a cygnet was\255\001the best they could manage\255\001with these old bones.,但…變出一顆蛋…\255\001已經是那些老骨頭的極限了。,
294,009:SC#0047,Why do the Elders want to get rid of me?\255\001I haven't broken any Rules.,為什麼長老們要除掉我？\255\001我沒有做錯什麼。,
295,009:SC#0047,"They fear you, Bobbin.",他們怕你，波賓。,
296,009:SC#0047,But why should anyone be afraid of me?,但為什麼有人要害怕我呢？,
297,009:SC#0047,"Ever since you came into our world,\255\001the Elders have watched chaos spread\255\001across the Pattern in the Loom.",自從你來到我們的世界\255\001長老們就一直看著混沌\255\001在織機的圖案中蔓延。,
298,009:SC#0047,"They believed - hoped - that your birth\255\001was the cause of this chaos, and that\255\001order might return if you were banished.",他們相信…也『期望』…\255\001你的誕生是造成這場混沌的原因\255\001如果你被放逐，秩序可能會恢復。,
299,009:SC#0047,"But now the Elders are banished,\255\001and you are still here!\255\001This can mean only one thing.",但現在長老們反而被放逐了\255\001而你還在這裡！\255\001這只能意味著一件事。,
300,009:SC#0047,"The Pattern is failing\255\001of its own accord.\255\001\255\001Soon it will come to\255\001an end ... and with it,\255\001all that is hemmed into\255\001its threads.",織圖正在自行瓦解！\255\001\255\001它很快就會終結\255\001隨之終結的\255\001還有所有被它關聯的一切。,
301,009:SC#0047,A third Shadow is nigh!,第三個陰影即將來臨！,
302,009:SC#0047,Is there any way to stop it?,有什麼辦法可以阻止它嗎？,
303,009:SC#0047,Stop chaos? The Elders thought they could.,阻止混沌？長老們認為他們可以。,
304,009:SC#0047,Now they know better. So should you.,他們確實也『知道』了…你也應該如此。,
305,009:SC#0047,"If we can't stop the chaos,\255\001what CAN we do?",如果我們不能阻止混沌\255\001我們能做什麼？,
306,009:SC#0047,We can embrace it.\255\001\255\001Or ... escape!,我們可以擁抱它。\255\001\255\001或者……逃跑！,
307,009:SC#0047,"The swan has rescued the\255\001rest of our Guild from the\255\001coming time of darkness.\255\001\255\001The way before us now\255\001is clear.\255\001\255\001We must find out where\255\001our flock has flown, and\255\001join them if we can!",天鵝從即將到來的黑暗時代中\255\001拯救了我們公會的其餘成員。\255\001現在，我們面前的道路已經清晰可見。\255\001\255\001我們必須找到我們的族群飛向何方，\255\001如果可以的話，加入他們吧！,
308,009:SC#0047,You've already found\255\001the Elder's distaff.\255\001Good.\255\001\255\001Never let it out of\255\001your grasp!,很好！你找到了長老的織杖。\255\001永遠不要讓它離開你的手！,
309,009:SC#0047,Pick up the Elder's\255\001distaff lying here.\255\001It is yours now.\255\001\255\001Never let it out of\255\001your grasp!,撿起長老的織杖，它現在屬於你了。\255\001永遠不要讓它離開你的手！,
310,009:SC#0047,"You won't be able to\255\001weave very much with it\255\001at first, I expect.\255\001\255\001But as you gain practice,\255\001more and more of its power\255\001will reveal itself to you.",一開始你可能無法用它編織出很多東西，\255\001我想。但隨著你練習的增多，\255\001它會向你展現出越來越多的力量。,
311,009:SC#0047,"As long as the distaff\255\001remains in your hands,\255\001I'll know you are safe.\255\001\255\001If you ever lose it,\255\001take heart! I'll come to\255\001help you if I can.",只要織杖還在你手中，我就知道你很安全。\255\001如果你弄丟了織杖，別擔心！\255\001我會盡我所能幫助你。,
312,009:SC#0047,"Leave this island, Loom-Child.\255\001It's too small for you now.",離開這個島，織機之子。\255\001它對你來說太小了！,
313,009:SC#0047,Your destiny lies beyond the sea!,你的命運就在大海的彼岸！,
314,009:SC#0047,Wish I knew why everyone keeps\255\001calling me +Loom-Child./,希望我知道為什麼每個人都堅持\255\001叫我『織機之子』。,
315,009:SC#0101,Eek! Look out!,哇塞！當心！,
