Line,Context,English,Chinese
138,002:LS#0223,Produced By\255\001Shelley Day\255\001\255\001Project Lead By\255\001Jennifer Sward,
139,002:LS#0223,Special Thanks To\255\001Sylvester Pesek of Optical Media\255\001and\255\001Mike Kawahara of Commodore,
140,002:LS#0223,"Thanks to Noah Falstein, David Fox,\255\001Akila J. Redmer, James Wood, Andrea Siegel\255\001and Orson Scott Card",
141,002:LS#0223,\255\001Special Thanks to George Lucas,
142,002:LS#0223,\255\001A Lucasfilm Games\015 Production,
143,002:LS#0223,"Created and Produced at Skywalker Ranch\255\001Marin County, California",
144,002:LS#0223,\015 & = 1990 LucasArts Entertainment Co.\255\001All rights reserved.,
145,002:LS#0223,The End,
146,002:SC#0044,\015 & = 1990 LucasArts Entertainment Co.\255\001All rights reserved.,
147,002:SC#0044, ,
148,002:SC#0044,LucasArts Entertainment Company,
149,002:SC#0044,\015 & = 1990 LucasArts Entertainment Co.\255\001All rights reserved.,
150,002:SC#0044,"Rise, son of Cygna.",
151,002:SC#0044,It is the dawn of your seventeenth year.,
152,002:SC#0044,The Elders await you in the Sanctuary.,
153,002:SC#0044,I've never known them to weave such\255\001a bright messenger nymph.,
154,002:SC#0044,I wonder why the Elders want to see me?,
155,002:SC#0044,I'd better get down to the village.,
156,002:SC#0044,Press F9 to toggle text on screen ON/OFF,
157,003:ON#0090,sky,
158,003:OC#0090,I like the view from the cliff better.,
159,003:OC#0090,Maybe I should stand a bit closer.,
160,004:ON#0100,owl,
161,004:OC#0100,He's fast asleep.,
162,004:OC#0100,I can't even get owls to respond to my drafts.,
163,004:ON#0101,thorns,
164,004:OC#0101,Ouch!,
165,004:OC#0101,I don't think you can weave with thorns.,
166,004:OC#0101,I don't think you can weave with thorns.,
167,004:OC#0101,I don't think you can weave with thorns.,
168,004:ON#0096,hole,
169,004:ON#0097,hole,
170,004:ON#0098,hole,
171,004:ON#0099,hole,
172,004:ON#0102,grave,
173,004:OC#0102,I can't read it.,
174,004:OC#0102,The owl's tailfeathers are covering the words.,
175,004:OC#0102,It doesn't seem to affect them at all.,
176,004:OC#0102,That draft doesn't seem to work in cemetaries.,
177,004:ON#0122,sky,
178,004:OC#0122,I like the view from the cliff better.,
179,004:OC#0122,Maybe I should stand a bit closer.,
180,004:EN#0004,\025The day the sky is opened.\025,
181,004:LS#0200,There's an owl in there!,
182,004:LS#0200,Another owl!,
183,004:LS#0200,I didn't know there were so many owls\255\001in these woods!,
184,004:LS#0200,All the holes are full now.,
185,004:LS#0200,That one is empty.,
186,004:LS#0200,There's an owl in there!,
187,004:LS#0200,It's still empty.,
188,004:LS#0206,I guess that draft doesn't apply to holes.,
189,004:LS#0207,"No, wait: that hole's already wide open.",
190,004:LS#0208,Whatever lives in that hole may not appreciate this.,
191,004:LS#0209,Just as well.\255\001Some things are better left alone.,
192,006:ON#0136,cloth rack,
193,006:OC#0136,Grass green.  I hate that color!,
194,006:OC#0136,Even the Elders couldn't make it any more colorful.,
195,006:OC#0136,White again. That's more like it.,
196,006:ON#0139,flask,
197,006:ON#0130,dye pot,
198,006:OC#0130,Nothing. That draft doesn't seem to work on pots.,
199,006:ON#0134,book,
200,006:OC#0134,That's the Book of Patterns.\255\001I already know what's in it.,
201,006:OC#0134,"I'd have to open it, first.",
202,006:OC#0134,I already know what's in it.,
203,006:ON#0135,heap,
204,006:OC#0135,Grass green.  I hate that color!,
205,006:OC#0135,This wool hasn't been dyed yet.,
206,006:OC#0135,White again. That's more like it.,
207,006:ON#0132,wool,
208,006:OC#0132,Yuck! Green again!,
209,006:OC#0132,This wool hasn't been dyed yet.,
210,006:OC#0132,White again. That's more like it.,
211,006:ON#0131,wool,
212,006:OC#0131,Grass green.  I hate that color!,
213,006:OC#0131,Yuck! Green again!,
214,006:OC#0131,There. It looks much better in white.,
215,006:LS#0200,Yuck! Green again!,
216,006:LS#0200,There. It looks much better in white.,
217,006:LS#0200,The color changed!,
218,006:LS#0201,Grass green.  I hate that color!,
219,006:LS#0211,It's much too green already.,
220,006:LS#0212,That's already as pale as I can make it.,
221,006:LS#0215,It's still dripping. What a mess!,
222,006:LS#0215,Oops!,
223,008:ON#0181,tapestry,
224,008:OC#0181,"The threads describe the Creation of the World,\255\001and the passing of the Two Shadows.",
225,008:OC#0181,"The threads describe the Creation of the World,\255\001and the passing of the Two Shadows.",
226,008:ON#0182,tapestry,
227,008:OC#0182,"The pattern shows the entire\255\001history of the Weavers,\255\001back to the founding of the Great Guilds.",
228,008:OC#0182,"The pattern shows the entire\255\001history of the Weavers,\255\001back to the founding of the Great Guilds.",
229,008:ON#0183,tapestry,
230,008:OC#0183,The last section tells about\255\001the decline of the Guilds.,
231,008:OC#0183,There's a Third Shadow gathering^,
232,008:OC#0183,^that's strange.\255\001The end is completely torn off!,
233,008:LS#0204,There's the Long Tapestry.\255\001I don't remember it looking so old and frayed.,
234,008:LS#0205,Here's more of the Tapestry.,
235,008:LS#0208,Even the Elders couldn't make it any more colorful.,
236,008:LS#0209,There isn't any color left to spin out.,
237,008:LS#0209,There isn't any color left to spin out.,
238,008:LS#0210,That draft must not work on tapestries.,
239,008:LS#0217,The color changed!,
240,008:SC#0046,There's Hetchel! And the Elders\255\001don't look at all pleased with her.,
241,008:SC#0046,"You have heard the findings\255\001of this Council, Dame Hetchel.",
242,008:SC#0046,Have you anything to say in your own defense?,
243,008:SC#0046,"My Elders, my actions speak for themselves.",
244,008:SC#0046,This reckless defiance is intolerable.,
245,008:SC#0046,Any secret you share with Cygna's son\255\001might be turned against us!,
246,008:SC#0046,"His talent is awakening,\255\001and the power is very strong in him.",
247,008:SC#0046,We dare not desert him now!,
248,008:SC#0046,Stubborn old fool!\255\003Who are YOU to decide such things?!,
249,008:SC#0046,"Enough, Lachesis.",
250,008:SC#0046,"Hetchel, I am grieved to see your many\255\001years of service end in such disgrace.",
251,008:SC#0046,My destiny is yours to weave.,
252,008:SC#0046,"Hetchel, the fabric of your life\255\001has been woven by your own choices.",
253,008:SC#0046,Gaze once more upon the Great Loom\255\001if you would know your ultimate destiny.,
254,008:SC#0046,For that destiny is now upon you!,
255,008:SC#0046,A swan's egg! What does it mean?,
256,008:SC#0046,Something is deeply wrong.\255\001That draft has never failed before.,
257,008:SC#0046,Something is deeply wrong.\255\001That draft has never failed before.,
258,008:SC#0046,What is that noise? Outside!,
259,008:SC#0046,The Guild is under attack!,
260,008:SC#0046,Who dares to desecrate the\255\001Great Loom of the Weavers?,
261,008:SC#0046,This is the work of the demon boy.,
262,008:SC#0046,"We should kill him, while we still can!",
263,008:SC#0046,"Your name will be cursed forever, Son of Cygna ^\255\001Loom Child ^ Bobbin Threadbare!",
264,008:SC#0046,MY name? But I had nothing to do with this!,
265,008:SC#0046,Wait! Where are you going?,
266,008:SC#0046,No explanations. No goodbyes.,
267,008:SC#0046,"And once again, I'm left behind ^",
268,009:ON#0195,egg,
269,009:OC#0195,"Well, that didn't work.",
270,009:ON#0196,distaff,
271,009:OC#0196,level is \255\004\172\000,
272,009:OC#0196,It's heavier than it looks.,
273,009:ON#0197,loom,
274,009:OC#0197,"Well, that didn't work.",
275,009:ON#0198,Hetchel,
276,009:OC#0198,"Her beak moves, but there's nothing --\255\001not a sound!",
277,009:OC#0198,That's not helping ^,
278,009:OC#0198,That's not helping ^,
279,009:ON#0199,feather,
280,009:ON#0200,Dead One,
281,009:LS#0209,It's so quiet.   The echoes of the Loom\255\001have all died away.,
282,009:LS#0209,Those are the same four threads\255\001spun by the Elders.,
283,009:LS#0209,Those are the four threads\255\001I heard a few moments ago.,
284,009:LS#0209,They're still echoing in the Loom!,
285,009:LS#0213,The egg ^ it's trying to open!,
286,009:LS#0214,What's that sound?,
287,009:LS#0214,The egg is opening!,
288,009:LS#0216,"I advise you not to approach me too closely, Weaver boy.",
289,009:LS#0221,"Throw away that stick, young fool.",
290,009:LS#0221,Your Weaver magic can't begin to touch me.,
291,009:LS#0223,"Thank goodness!\255\001Now, Bobbin, quickly: the threads you need are",
292,009:LS#0223,Ducks are meant to be eaten. Not heard.,
293,009:LS#0223,Now.,
294,009:LS#0223,I believe we were discussing\255\001the secrets of the Loom.,
295,009:LS#0224,"Ssh! Close your eyes now, Bobbin.\255\001But keep your ears open!",
296,009:LS#0224,Here descends the Third Shadow!,
297,009:LS#0224,"Now, my esteemed advisor,\255\001where were we before we were so rudely distracted?",
298,009:LS#0224,Hetchel's black feather!\255\001She left one behind!,
299,009:LS#0224,And so she did.,
300,009:LS#0224,I think I shall keep it as a souvenir\255\001of our little encounter.,
301,009:LS#0224,I want that feather. Give it to me.,
302,009:LS#0224,"My, my, impudent, aren't we?",
303,009:LS#0226,"Unmake the Loom, Bobbin! Now!",
304,009:LS#0226,I can't distract her much longer!,
305,009:LS#0231,That bird has annoyed me once to often.,
306,009:LS#0233,Mother Hetchel! Where are you going?,
307,009:LS#0233,"Goodbye, Bobbin!  I must follow the swans.",
308,009:SC#0047,There's my boy!,
309,009:SC#0047,What's happening? The whole village\255\001has flown away - without us.,
310,009:SC#0047,"From the moment you came into this world,\255\001Bobbin, great and terrible things\255\001have been happening.",
311,009:SC#0047,The Elders hoped that\255\001your birth was the cause of it.,
312,009:SC#0047,Why would the Elders want to get rid of me?,
313,009:SC#0047,I'm such an awful weaver that they've\255\001never even let me study with the others.,
314,009:SC#0047,"They fear you, Bobbin.",
315,009:SC#0047,"When the swan arrived, they were already\255\001trying to weave the same draft\255\001on you that they had worked on me.",
316,009:SC#0047,But the draft turned against them.,
317,009:SC#0047,It means only one thing -- that\255\001the Pattern is failing of its own accord.,
318,009:SC#0047,No! Can't it be stopped?,
319,009:SC#0047,Stop chaos?,
320,009:SC#0047,"The only thing to do is embrace it,\255\001and turn ourselves into creatures of shadow ^\255\001or plan our escape!",
321,009:SC#0047,Escape? To where?\255\001,
322,009:SC#0047,"I don't know.  But if we are to\255\001survive, we must find out where that flock has\255\001flown, and join them, if we can!",
323,009:SC#0047,You've already found Atropos' distaff. Good.,
324,009:SC#0047,"Pick up Atropos' distaff, over there.",
325,009:SC#0047,"You won't be able to weave\255\001very much with it at first.\255\003But as you practice, its true power\255\001will be revealed to you.",
326,009:SC#0047,"It's time to leave this island, Loom Child.",
327,009:SC#0047,"Your destiny lies beyond the sunset,\255\001across the sea!",
328,009:SC#0047,"Well.  This is a fine mess.\255\001Everybody's gone, and I still don't understand what's going on.",
329,009:SC#0047,And why did they keep calling me 'Loom Child'?\255\001Nobody's ever let me anywhere near a loom ^,
330,009:SC#0101,"Eek!  Mind yourself, Bobbin!",
331,009:SC#0101,Get your distaff ready!,
332,009:SC#0101,You must unmake the Loom.\255\001NOW! Before Chaos takes control!,
333,009:SC#0101,What? How? I don't know what draft to use!,
334,009:SC#0101,Birds and children have no business\255\001wielding such power.,
335,009:SC#0101,Weavers are the only ones who DO\255\001have the right to use this power!,
336,009:SC#0101,"Destiny has blessed you, young Threadbare -- ",
337,009:SC#0101,for you alone will live on to pass\255\001your Guild's secrets to others more worthy of them.,
338,009:SC#0101,I invite you to serve my new empire as advisor.,
339,009:SC#0101,ME?  YOU?  ADVISOR?!,
340,009:SC#0101,"Of course, I will expect your full cooperation\255\001in this historic exchange of goodwill.",
341,009:SC#0101,"After all, anything else may bring harm to our relationship ^",
342,009:SC#0101,"Don't listen to her, Bobbin!",
343,009:SC#0101,"Heed me, now --\255\001here are the threads that will unmake the Loom ^",
344,009:SC#0101,Silence.,
345,009:SC#0101,"Hetchel, say something, please!\255\001I need that draft!",
346,009:SC#0101,Enough.  I lose patience in the presence\255\001of inferior beings.,
347,009:SC#0101,You will now instruct me in the use\255\001of this fascinating instrument.,
348,009:SC#0101,Over my dead body!,
349,009:SC#0101,Preference noted.,
350,009:SC#0105,Hetchel's black feather!\255\001She left one behind!,
351,009:SC#0105,And so she did.,
352,009:SC#0105,I think I shall keep it as a souvenir\255\001of our little encounter.,
353,009:SC#0105,I want that feather. Give it to me.,
354,009:SC#0105,"My, my, impudent, aren't we?",
355,010:ON#0221,clam,
356,010:OC#0221,Yuck.,
357,010:OC#0221,Looks as if breakfast is over.,
358,010:OC#0221,It's already open!,
359,010:OC#0221,I'd hate to ruin the poor gull's breakfast.,
360,010:OC#0221,I already closed it.,
361,010:OC#0221,That didn't help at all.,
362,010:ON#0222,gull,
363,010:ON#0223,gull,
364,010:ON#0224,gull,
365,010:ON#0225,gull,
366,011:SC#0049,Perhaps I shouldn't try that again...,
367,011:SC#0049,Is it over?,
368,012:OC#0247,"Now.  Let's try this again, shall we?",
369,012:LS#0200,I'd better not wander off too far.,
370,013:ON#0250,waterspout,
371,013:OC#0250,I think that's close enough.,
372,013:OC#0250,That didn't help at all.\255\001There must be some way I can untwist it ^,
373,013:OC#0250,"Well, that only twisted it tighter!",
374,013:OC#0250,That draft doesn't seem to work on waterspouts.,
375,016:ON#0275,workers,
376,016:LS#0203,What's going on up there?,
377,016:LS#0204,"No, I think I already tried that draft once.",
378,016:LS#0204,It doesn't seem to affect them at all.,
379,016:LS#0204,Hmm. I wonder ^ did it work? Only one way to find out.,
380,016:LS#0206,It doesn't seem to affect them at all.,
381,016:LS#0207,I doubt they'll see me from up there.,
382,017:ON#0282,grave,
383,017:OC#0282,"\025Near this spot, Luscent Bottleblow,\255\001Founder of the Noble Guild of Glassmakers,\255\003attained his Final Clarity.\025",
384,017:OC#0282,It doesn't seem to affect them at all.,
385,017:ON#0283,grave,
386,017:OC#0283,"\025Softshard, Wife of Luscent Bottleblow,\255\001here attained Final Clarity.\025",
387,017:OC#0283,It doesn't seem to affect them at all.,
388,017:LS#0205,That's obviously not the right draft for graves.,
389,017:LS#0206,I don't think I'll try that one again.,
390,018:ON#0294,bell,
391,018:OC#0294,That draft isn't working on the bell.,
392,018:ON#0295,sphere,
393,018:OC#0295,That must not be the right draft.,
394,018:ON#0296,crystal,
395,018:OC#0296,"It's already open, remember?",
396,018:ON#0299,crystal,
397,018:ON#0297,conversation,
398,018:LS#0202,I guess I'm not supposed to go up there.,
399,018:LS#0202,Those two are going to be a bit of a problem.,
400,018:LS#0202,I may have to do something ^ sneaky.,
401,018:LS#0205,"Not so fast, here...",
402,018:LS#0205,Who's that?,
403,018:LS#0205,I can barely hear what they're saying ^,
404,018:SC#0064,Huh! A glass bell!,
405,018:SC#0064,Wonder what will happen if ...,
406,018:SC#0071,I'm dizzy!,
407,019:SC#0065,Aieeeeaaah!,
408,020:ON#0313,bell,
409,020:ON#0314,bell,
410,020:ON#0311,scythe,
411,020:ON#0312,scythe,
412,020:ON#0315,workers,
413,020:ON#0316,workers,
414,020:LS#0202,That scythe is even sharper than a Weaver's spindle.,
415,020:LS#0203,That scythe is even sharper than a Weaver's spindle.,
416,020:LS#0207,Look!,
417,020:LS#0207,"Who are you, lad?",
418,020:LS#0207,And just what do you think you're doing up here?,
419,020:LS#0207,"I^I'm not sure. I just rang the bell, and",
420,020:LS#0207,"Well, I'm sorry, but you're not supposed to be here.",
421,020:LS#0207,"Step back under the lens, please.",
422,020:LS#0207,This is a restricted area.,
423,020:LS#0207,No visitors allowed.,
424,020:LS#0207,"Good day, sir ^",
425,020:LS#0207,Stopper. Over there! I don't believe this ^,
426,020:LS#0207,"Looking for trouble, are you?\255\001You're certainly about to find it ^",
427,020:LS#0207,He'll not be the only one in trouble if Crucible finds him up here.,
428,020:LS#0207,Not to mention what will happen if we get behind schedule.,
429,020:LS#0207,"Listen, here, lad. We have secret work to do,\255\001and not much time to do it.\255\001Do you undertand what SECRET means?",
430,020:LS#0207,Yes. But it's very important that I ^,
431,020:LS#0207,Good. Please step over to the lens. NOW.,
432,020:LS#0207,Stupid brat.,
433,020:LS#0207,You said it.,
434,020:LS#0207,Look here! You are not going to just waltz\255\001through here without our seeing you!,
435,020:LS#0207,GO. PLAY. SOMEWHERE. ELSE. GOODBYE.,
436,020:LS#0210,"Our esteemed Bishop Mandible\255\001cuts quite a figure, doesn't he?",
437,020:LS#0210,I don't doubt that Crucible's getting\255\001tired of bowing and scraping to him.,
438,020:LS#0210,"Why would the Clerics want a Scrying Sphere, anyway?",
439,020:LS#0210,I thought they didn't believe in the future.,
440,020:LS#0210,"Your guess is as lucid as mine, Flute.",
441,020:LS#0210,But Crucible appears to think that they're up to no good again.,
442,020:LS#0210,Then why would he do business with them at all?,
443,020:LS#0210,Let alone sell them a sphere^,
444,020:LS#0210,"Well, you know Crucible.",
445,020:LS#0210,He'd sell his own mother's spectacles\255\001if he thought there was a profit in it.,
446,020:LS#0210,And the Clerics are paying off in cash.,
447,020:LS#0210,^which should keep us in the clear for years to come!,
448,020:LS#0210,"Still, I'm certainly pleased that\255\001Crucible's not taking any chances.",
449,020:LS#0210,This scythe might become very useful,
450,020:LS#0210,if our friend the Bishop\255\001has been less than transparent with us.,
451,020:LS#0210,OUCH!,
452,020:LS#0210,"Yes, very useful indeed ^",
453,020:LS#0211,That draft is not going to help if they can't see me.,
454,020:LS#0212,I'm glad I'm already invisible.,
455,020:LS#0214,That draft isn't working on the bell.,
456,020:LS#0218,"Our esteemed Bishop Mandible\255\001cuts quite a figure, doesn't he?",
457,020:LS#0218,I don't doubt that Crucible's getting\255\001tired of bowing and scraping to him.,
458,020:LS#0218,"Why would the Clerics want a Scrying Sphere, anyway?",
459,020:LS#0218,I thought they didn't believe in the future.,
460,020:LS#0218,"Your guess is as lucid as mine, Flute.",
461,020:LS#0218,But Crucible appears to think that they're up to no good again.,
462,020:LS#0218,Then why would he do business with them at all?,
463,020:LS#0218,Let alone sell them a sphere^,
464,020:LS#0218,"Well, you know Crucible.",
465,020:LS#0218,He'd sell his own mother's spectacles\255\001if he thought there was a profit in it.,
466,020:LS#0218,And the Clerics are paying off in cash.,
467,020:LS#0218,^which should keep us in the clear for years to come!,
468,020:LS#0218,"Still, I'm certainly pleased that\255\001Crucible's not taking any chances.",
469,020:LS#0218,This scythe might become very useful,
470,020:LS#0218,if our friend the Bishop\255\001has been less than transparent with us.,
471,020:LS#0218,OUCH!,
472,020:LS#0218,"Yes, very useful indeed ^",
473,022:ON#0330,chalice,
474,022:OC#0330,Hmm.  I wonder where that dragon went\255\001with Bottleblow's other treasures.,
475,022:OC#0330,Hmm.  I wonder where that dragon went\255\001with Bottleblow's other treasures.,
476,022:OC#0330,It's still empty.,
477,022:OC#0330,I've already done that.,
478,022:ON#0328,bell,
479,022:OC#0328,That draft isn't working on the bell.,
480,022:ON#0329,crystal,
481,022:SC#0108,That's beautiful!\255\001I've never seen anything sparkle like that ^,
