Context,"Chinese"
001:SC#0119,"我必須更謹慎選擇織法。"
001:SC#0121,"分配織法"
001:SC#0125,"\009移除的密碼是 \255\004\000\064"
002:ON#0079,"葉子"
002:OC#0079,"秋天的最後一片葉子。"
002:ON#0081,"天"
002:OC#0081,"破曉了。"
002:OC#0081,"它似乎自己關閉了。"
002:OC#0081,"我得先打開它。"
002:OC#0081,"已經有足夠的光線透出來了！"
002:OC#0081,"沒用。算了，反正黎明要來了。"
002:LS#0203,"劇終"
002:LS#0205,"\255\001插畫 Mark Ferrari"
002:LS#0206,"角色設計與動畫\255\001Gary Winnick 和 Steve Purcell"
002:LS#0207,"視覺特效動畫\255\001Ken Macklin, Gary Winnick, Steve Purcell\255\001和 Mark Ferrari"
002:LS#0208,"柴可夫斯基音樂\255\001改編 George Alistair Sanger\255\001和 Gary Hammond"
002:LS#0209,"AdLib]^ 原聲帶\255\001Eric Hammond"
002:LS#0209,"CMS 原聲帶\255\001Eric Hammond"
002:LS#0209,"Roland立體聲原聲帶\255\001George Alistair Sanger 和 David Warhol"
002:LS#0209,"PC/Tandy 原聲帶\255\001Dave Hayes 和 David Warhol"
002:LS#0210,"額外程式設計\255\001Kalani Streicher"
002:LS#0211,"SCUMM 故事系統\255\001Ron Gilbert 和 Aric Wilmunder"
002:LS#0212,"\255\001PC/Tandy 版 Aric Wilmunder"
002:LS#0213,"首席測試\255\001Kirk Roulston"
002:LS#0214,"測試員\255\001Bret, Terry, Tom,\255\001Eric, Carla, Jon,\255\001Tony, Tim, Eric"
002:LS#0215,"測試員\255\001Maniac, Ezra,\255\001Alice, Jenny, Aileen\255\001和 Judith"
002:LS#0216,"\255\001製作 Gregory D. Hammond"
002:LS#0217,"感謝 Noah, David,\255\001Akila, James, Andrea\255\001和 Orson"
002:LS#0218,"\255\001特別感謝 George Lucas"
002:LS#0219,"\255\001Lucasfilm Games\015 製作"
002:LS#0220,"於天行者山莊創作與製作\255\001加州馬林郡"
002:LS#0221,"\015 & = 1990 LucasArts Entertainment Co.\255\001版權所有。"
002:LS#0223,"\255\001插畫 Mark Ferrari"
002:LS#0223,"角色設計與動畫\255\001Gary Winnick 和 Steve Purcell"
002:LS#0223,"視覺特效動畫\255\001Ken Macklin, Gary Winnick, Steve Purcell\255\001和 Mark Ferrari"
002:LS#0223,"柴可夫斯基音樂\255\001改編 George Alistair Sanger\255\001和 Gary Hammond"
002:LS#0223,"首席測試\255\001Kirk Roulston"
002:LS#0223,"測試員\255\001Bret, Terry, Tom,\255\001Eric, Carla, Jon,\255\001Tony, Tim, Eric"
002:LS#0223,"測試員\255\001Maniac, Ezra,\255\001Alice, Jenny, Aileen\255\001和 Judith"
002:LS#0223,"\255\001製作 Gregory D. Hammond"
002:LS#0223,"旁白 -- Kenna Hunt\255\001\255\001紡織公會\255\001仙女 -- Lauren Jones\255\001Bobbin -- Richard Seyd\255\001長老 Atropos -- David Case\255\001長老 Clothos -- Kenna Hunt\255\001長老 Lachesis -- Donada Peters\255\001Hetchel -- Pat Franklyn"
002:LS#0223,"牧羊人公會\255\001牧羊人 -- Robert, David\255\001Pat, Tom\255\001Fleece -- Lauren Jones\255\001\255\001玻璃匠公會\255\001大師 Goodmold -- James\255\001Stopper -- James\255\001Flute -- Tom"
002:LS#0223,"龍 -- Donada Peters\255\001\255\001鐵匠公會\255\001Rusty -- Tom Whitworth\255\001守衛 -- James Carpenter\255\001Stoke -- Tom Whitworth\255\001大師 Edgewise -- Robert Emmet\255\001工頭 -- Tom Whitworth"
002:LS#0223,"神職公會\255\001主教 Mandible -- David Case\255\001Cob -- Tom Whitworth\255\001\255\001混沌 -- Lauren Jones\255\001\255\001Cygna 女士 -- Lauren Jones"
002:LS#0223,"導演\255\001John Reiger\255\001\255\001\255\001助理導演\255\001Susan Murphy Reiger"
002:LS#0223,"錄音\255\001Andy Murdoch\255\001\255\001音樂改編與混音\255\001Andy Newell"
002:LS#0223,"錄音、剪輯與混音於\255\001舊金山 earwax productions\255\001\255\001特殊語音特效與剪輯\255\001我們最愛的兩位 Andy"
002:LS#0223,"劇本改編\255\001Sara Reeder\255\001與\255\001Orson Scott Card\255\001\255\001\255\001額外對話與剪輯\255\001Jennifer, Shelley 和 John"
002:LS#0223,"額外動畫\255\001Anson Jew 和 Mike McGlaughlin\255\001\255\001\255\001額外背景\255\001Avril, Armand,\255\001Anson, 和 Mike"
002:LS#0223,"首席遊戲測試 -- Dave Popovich\255\001\255\001測試團隊\255\001Chip, Jo,\255\001James, Justin\255\001Howard, Patrick\255\001Ron, Preacher, Wayne\255\001和 Tabitha"
002:LS#0223,"包裝與行銷協調\255\001Mary Bihr\255\001與 Cynthia Wuthman"
002:LS#0223,"編劇\255\001Jennifer Sward\255\001\255\001CD SCUMM 系統\255\001Aric Wilmunder"
002:LS#0223,"製作人\255\001Shelley Day\255\001\255\001專案負責人\255\001Jennifer Sward"
002:LS#0223,"特別感謝\255\001Optical Media 的 Sylvester Pesek\255\001與\255\001Commodore 的 Mike Kawahara"
002:LS#0223,"感謝 Noah, David,\255\001Akila, James, Andrea\255\001和 Orson"
002:LS#0223,"\255\001特別感謝 George Lucas"
002:LS#0223,"\255\001Lucasfilm Games\015 製作"
002:LS#0223,"於天行者山莊創作與製作\255\001加州馬林郡"
002:LS#0223,"\015 & = 1990 LucasArts Entertainment Co.\255\001版權所有。"
002:LS#0223,"劇終"
002:SC#0044,"\015 & = 1990 LucasArts Entertainment Co.\255\001版權所有。"
002:SC#0044,"LucasArts 娛樂公司"
002:SC#0044,"\015 & = 1990 LucasArts Entertainment Co.\255\001版權所有。"
002:SC#0044,"起來，Cygna之子。"
002:SC#0044,"這是你十七歲的黎明。"
002:SC#0044,"長老們在聖所等你。"
002:SC#0044,"我從未見過他們編織出\255\001如此明亮的信使仙女。"
002:SC#0044,"我想知道長老為何要見我？"
002:SC#0044,"我最好去村子裡。"
002:SC#0044,"按F9切換文字開啟/關閉"
003:ON#0090,"天"
003:OC#0090,"我比較喜歡懸崖上的景色。"
003:OC#0090,"也許該站近點。"
004:ON#0100,"鴞"
004:OC#0100,"他睡熟了。"
004:OC#0100,"我連鴞都不理我的織法。"
004:ON#0101,"荊棘"
004:OC#0101,"哎喲!"
004:OC#0101,"我想不能用荊棘紡織。"
004:OC#0101,"我想不能用荊棘紡織。"
004:OC#0101,"我想不能用荊棘紡織。"
004:ON#0096,"洞"
004:ON#0097,"洞"
004:ON#0098,"洞"
004:ON#0099,"洞"
004:ON#0102,"墳墓"
004:OC#0102,"我看不懂。"
004:OC#0102,"鴞的尾羽遮住了字。"
004:OC#0102,"這似乎對他們一點影響也沒有。"
004:OC#0102,"那個織法在墓園似乎沒用。"
004:ON#0122,"天"
004:OC#0122,"我比較喜歡懸崖上的景色。"
004:OC#0122,"也許該站近點。"
004:EN#0004,"\025天空開啟之日。\025"
004:LS#0200,"裡面有一隻鴞！"
004:LS#0200,"又有鴞！"
004:LS#0200,"我不知道這些樹林裡\255\001有這麼多鴞！"
004:LS#0200,"所有的洞都滿了。"
004:LS#0200,"那個是空的。"
004:LS#0200,"裡面有一隻鴞！"
004:LS#0200,"它還是空的。"
004:LS#0206,"我想那織法不適用於洞。"
004:LS#0207,"不，等等：那個洞已經敞開了。"
004:LS#0208,"住在那洞裡的東西可能不會喜歡。"
004:LS#0209,"也好。\255\001有些事還是別碰為妙。"
006:ON#0136,"布架"
006:OC#0136,"草綠色。我討厭那顏色！"
006:OC#0136,"連長老們也無法讓它更色彩繽紛。"
006:OC#0136,"又變白了。這樣好多了。"
006:ON#0139,"燒瓶"
006:ON#0130,"染鍋"
006:OC#0130,"沒反應。織法對鍋子似乎沒用。"
006:ON#0134,"書"
006:OC#0134,"那是織圖之書。\255\001我已經知道裡面有什麼了。"
006:OC#0134,"我得先打開它。"
006:OC#0134,"我已經知道裡面有什麼了。"
006:ON#0135,"堆"
006:OC#0135,"草綠色。我討厭那顏色！"
006:OC#0135,"這羊毛還沒染色。"
006:OC#0135,"又變白了。這樣好多了。"
006:ON#0132,"羊毛"
006:OC#0132,"噁！又是綠色！"
006:OC#0132,"這羊毛還沒染色。"
006:OC#0132,"又變白了。這樣好多了。"
006:ON#0131,"羊毛"
006:OC#0131,"草綠色。我討厭那顏色！"
006:OC#0131,"噁！又是綠色！"
006:OC#0131,"好了。白色看起來好多了。"
006:LS#0200,"噁！又是綠色！"
006:LS#0200,"好了。白色看起來好多了。"
006:LS#0200,"顏色變了！"
006:LS#0201,"草綠色。我討厭那顏色！"
006:LS#0211,"已經太綠了。"
006:LS#0212,"那已經是我能弄出最淡的顏色了。"
006:LS#0215,"還在滴水。真是一團糟！"
006:LS#0215,"糟了!"
008:ON#0181,"掛毯"
008:OC#0181,"這些線描述了創世，\255\001以及兩次陰影的消逝。"
008:OC#0181,"這些線描述了創世，\255\001以及兩次陰影的消逝。"
008:ON#0182,"掛毯"
008:OC#0182,"這個織圖展示了織者\255\001的完整歷史，\255\001追溯至大公會的建立。"
008:OC#0182,"這個織圖展示了織者\255\001的完整歷史，\255\001追溯至大公會的建立。"
008:ON#0183,"掛毯"
008:OC#0183,"最後一部分講述了\255\001公會的衰落。"
008:OC#0183,"第三次陰影正在聚集^"
008:OC#0183,"^真奇怪。\255\001結尾完全被撕掉了！"
008:LS#0204,"那是長掛毯。\255\001我不記得它看起來這麼舊和磨損。"
008:LS#0205,"這是掛毯的更多部分。"
008:LS#0208,"連長老們也無法讓它更色彩繽紛。"
008:LS#0209,"沒有任何顏色可以編織出來了。"
008:LS#0209,"沒有任何顏色可以編織出來了。"
008:LS#0210,"那織法肯定對掛毯沒用。"
008:LS#0217,"顏色變了！"
008:SC#0046,"是海切爾！\255\001長老們看起來對她非常不滿。"
008:SC#0046,"妳已聽取本議會\255\001的調查結果，海切爾女士。"
008:SC#0046,"妳有什麼要為自己辯護的嗎？"
008:SC#0046,"長老們，我的行為說明了一切。"
008:SC#0046,"這種魯莽的反抗是無法容忍的。"
008:SC#0046,"妳與Cygna之子分享的任何秘密\255\001都可能對我們不利！"
008:SC#0046,"他的天賦正在覺醒，\255\001他體內的力量非常強大。"
008:SC#0046,"我們現在怎敢放逐他！"
008:SC#0046,"固執的老傻瓜！\255\003妳是誰，能決定這些事？！"
008:SC#0046,"夠了，Lachesis。"
008:SC#0046,"海切爾，我很痛心看到妳多年的服務\255\001以如此恥辱的方式結束。"
008:SC#0046,"我的命運由諸位來編織。"
008:SC#0046,"海切爾，妳生命之布\255\001是自己的選擇編織而成的。"
008:SC#0046,"若妳想知道最終命運，\255\001請再次凝視命運織機。"
008:SC#0046,"因為那命運現在降臨在妳身上！"
008:SC#0046,"天鵝蛋！這是什麼意思？"
008:SC#0046,"非常不對勁。\255\001那織法以前從未失敗過。"
008:SC#0046,"非常不對勁。\255\001那織法以前從未失敗過。"
008:SC#0046,"外面那是什麼聲音？！"
008:SC#0046,"我們受到攻擊了！"
008:SC#0046,"誰敢褻瀆織者的命運織機？"
008:SC#0046,"這是那惡魔男孩的傑作。"
008:SC#0046,"我們應該趁還能時殺了他！"
008:SC#0046,"你的名字將永遠受詛咒，Cygna之子 ^\255\001織機之子 ^ Bobbin Threadbare！"
008:SC#0046,"我？但…這跟我沒關係！"
008:SC#0046,"等等！你們要去哪？"
008:SC#0046,"沒有解釋。沒有道別。"
008:SC#0046,"又一次，我被留下了 ^"
009:ON#0195,"蛋"
009:OC#0195,"嗯，沒用。"
009:ON#0196,"織杖"
009:OC#0196,"難度是 \255\004\172\000"
009:OC#0196,"它比看起來重。"
009:ON#0197,"織機"
009:OC#0197,"嗯，沒用。"
009:ON#0198,"海切爾"
009:OC#0198,"她的喙在動，但什麼也沒有 --\255\001一點聲音也沒有！"
009:OC#0198,"那沒什麼幫助 ^"
009:OC#0198,"那沒什麼幫助 ^"
009:ON#0199,"羽毛"
009:ON#0200,"死者"
009:LS#0209,"好安靜。織機的迴聲都消失了。"
009:LS#0209,"那是長老們\255\001紡出的同樣四根線。"
009:LS#0209,"那是幾分鐘前\255\001我聽到的四根線。"
009:LS#0209,"它們還在織機中迴盪！"
009:LS#0213,"蛋 ^ 它試圖打開！"
009:LS#0214,"那是什麼聲音？"
009:LS#0214,"蛋要開了！"
009:LS#0216,"我建議你別靠我太近，紡織男孩。"
009:LS#0221,"扔掉那根棍子，菜鳥。"
009:LS#0221,"你的魔法根本傷不了我。"
009:LS#0223,"謝天謝地！\255\001現在，Bobbin，快：你需要的線是"
009:LS#0223,"鴨子是拿來吃的。不是聽的。"
009:LS#0223,"現在"
009:LS#0223,"我相信我們正在討論\255\001織機的秘密。"
009:LS#0224,"噓！現在閉上眼睛，Bobbin。\255\001但要豎起耳朵聽！"
009:LS#0224,"第三次陰影降臨了！"
009:LS#0224,"現在，我尊敬的顧問，\255\001我們被粗魯地打斷前說到哪了？"
009:LS#0224,"海切爾的黑羽毛！\255\001她留下了一根！"
009:LS#0224,"她確實留下了。"
009:LS#0224,"我想我會把它當作紀念品，\255\001紀念我們的小邂逅。"
009:LS#0224,"我要那根羽毛。給我。"
009:LS#0224,"哎呀呀，我們真無禮，不是嗎？"
009:LS#0226,"解開織機，Bobbin！現在！"
009:LS#0226,"我無法分散她注意力太久！"
009:LS#0231,"那隻鳥煩我太多次了。"
009:LS#0233,"海切爾媽媽！妳要去哪？"
009:LS#0233,"再見，Bobbin！我必須跟隨天鵝。"
009:SC#0047,"那是我的孩子！"
009:SC#0047,"發生什麼事了？整個村子\255\001都飛走了 - 拋下了我們。"
009:SC#0047,"從你來到這世界的那一刻起，\255\001Bobbin，巨大且可怕的事就一直發生。"
009:SC#0047,"長老們希望你的出生是原因。"
009:SC#0047,"為什麼長老們想除掉我？"
009:SC#0047,"我是個糟糕的織者，他們甚至從未讓我跟其他人一起學習。"
009:SC#0047,"他們怕你，Bobbin。"
009:SC#0047,"白天鵝到來時，\255\001他們已經試圖對你施法，\255\001也就是對我施展過的那種織法。"
009:SC#0047,"但織法反噬了他們。"
009:SC#0047,"這只意味著一件事 --\255\001這織圖正在自行失效。"
009:SC#0047,"什麼！？不能阻止嗎？"
009:SC#0047,"阻止混沌？"
009:SC#0047,"唯一能做的是擁抱它，並將我們變成暗影生物，\255\001或是…計劃逃跑！"
009:SC#0047,"逃？逃去哪？\255\001"
009:SC#0047,"我不知道。\255\001但如果我們想活下來，\255\001就必須找出那群天鵝飛去哪，並加入他們！"
009:SC#0047,"你已找到Atropos的織杖。很好。"
009:SC#0047,"撿起那邊Atropos的織杖。"
009:SC#0047,"一開始你無法用它紡織太多東西。\255\001\255\003但隨著練習，它將向你展現真正的力量。"
009:SC#0047,"該離開這座島了，織機之子。"
009:SC#0047,"你的命運在日落之外，\255\001在海的另一邊！"
009:SC#0047,"好吧。這真是一團糟。\255\001大家都走了，而我還是不懂發生了什麼事。"
009:SC#0047,"為什麼他們一直叫我「織機之子」？\255\001從來沒人讓我靠近過織機"
009:SC#0101,"呀！小心點，Bobbin！"
009:SC#0101,"準備好你的織杖！"
009:SC#0101,"你必須解開織機。\255\001現在！在混沌控制之前！"
009:SC#0101,"什麼？怎麼做？我不知道要用什麼織法！"
009:SC#0101,"鳥和小孩沒有資格掌握這種力量。"
009:SC#0101,"織者是唯一有權使用這種力量的人！"
009:SC#0101,"命運眷顧了你，年輕的Threadbare -- "
009:SC#0101,"因為只有你能活下來，\255\001傳遞公會秘密給更配得上的人。"
009:SC#0101,"我邀請你擔任我新帝國的顧問。"
009:SC#0101,"我？你？顧問？！"
009:SC#0101,"當然，我期望你能全力配合\255\001這歷史性的善意交流。"
009:SC#0101,"畢竟，其他任何事都可能損害我們的『關係』"
009:SC#0101,"別聽她的，Bobbin！"
009:SC#0101,"現在，聽我說 --\255\001這是能解開織機的線 ^"
009:SC#0101,"安靜。"
009:SC#0101,"海切爾，拜託說點什麼！\255\001我需要那個織法！"
009:SC#0101,"夠了。在低等生物面前\255\001我失去了耐心。"
009:SC#0101,"你現在將指導我如何使用\255\001這件迷人的儀器。"
009:SC#0101,"休想！除非我死了！"
009:SC#0101,"好喔～我知道了。"
009:SC#0105,"海切爾的黑羽毛！\255\001她留下了一根！"
009:SC#0105,"她確實留下了。"
009:SC#0105,"我想我會把它當作紀念品，\255\001紀念我們的小邂逅。"
009:SC#0105,"我要那根羽毛。給我。"
009:SC#0105,"哎呀呀，我們真無禮，不是嗎？"
010:ON#0221,"蛤蜊"
010:OC#0221,"好噁."
010:OC#0221,"看來早餐結束了。"
010:OC#0221,"它已經開了！"
010:OC#0221,"我不想毀了可憐海鷗的早餐。"
010:OC#0221,"我已經關上它了。"
010:OC#0221,"那一點幫助也沒有。"
010:ON#0222,"海鷗"
010:ON#0223,"海鷗"
010:ON#0224,"海鷗"
010:ON#0225,"海鷗"
011:SC#0049,"也許我不該再試一次..."
011:SC#0049,"結束了嗎？"
012:OC#0247,"現在。我們再來一次好嗎？"
012:LS#0200,"我最好別走太遠。"
013:ON#0250,"水龍捲"
013:OC#0250,"我想那夠近了。"
013:OC#0250,"那毫無幫助。\255\001一定有辦法能解開它 ^"
013:OC#0250,"嗯，那只會讓它扭得更緊！"
013:OC#0250,"那織法對水龍捲似乎沒用。"
016:ON#0275,"工人"
016:LS#0203,"上面發生了什麼事？"
016:LS#0204,"不，我想我試過那織法了。"
016:LS#0204,"這似乎對他們一點影響也沒有。"
016:LS#0204,"嗯…不知…有用嗎？試了就知道。"
016:LS#0206,"這似乎對他們一點影響也沒有。"
016:LS#0207,"我懷疑他們從上面看得到我。"
017:ON#0282,"墳墓"
017:OC#0282,"\025Luscent Bottleblow,\255\001高貴的玻璃匠公會創始人，\255\003在此處獲得最終的澄澈。\025"
017:OC#0282,"這似乎對他們一點影響也沒有。"
017:ON#0283,"墳墓"
017:OC#0283,"\025Softshard, Luscent之妻,\255\001在此獲得最終的澄澈。\025"
017:OC#0283,"這似乎對他們一點影響也沒有。"
017:LS#0205,"那顯然不是用於墳墓的正確織法。"
017:LS#0206,"我想我不會再試那個了。"
018:ON#0294,"鐘"
018:OC#0294,"那織法對鐘沒用。"
018:ON#0295,"法球"
018:OC#0295,"那肯定不是正確的織法。"
018:ON#0296,"水晶"
018:OC#0296,"它已經打開了，記得嗎？"
018:ON#0299,"水晶"
018:ON#0297,"對話"
018:LS#0202,"我想我不該上去。"
018:LS#0202,"那兩個人會是個問題。"
018:LS#0202,"我也許得做點…偷偷摸摸的事。"
018:LS#0205,"別急，這裡..."
018:LS#0205,"那是誰？"
018:LS#0205,"我幾乎聽不見他們在說什麼 ^"
018:SC#0064,"哈！玻璃鐘！"
018:SC#0064,"想知道如果...會怎樣"
018:SC#0071,"我頭好暈！"
019:SC#0065,"啊啊啊啊啊"
020:ON#0313,"鐘"
020:ON#0314,"鐘"
020:ON#0311,"鐮刀"
020:ON#0312,"鐮刀"
020:ON#0315,"工人"
020:ON#0316,"工人"
020:LS#0202,"那鐮刀比織者的織杖還銳利。"
020:LS#0203,"那鐮刀比織者的織杖還銳利。"
020:LS#0207,"看！"
020:LS#0207,"你是誰，孩子？"
020:LS#0207,"你以為你在上面做什麼？"
020:LS#0207,"我^我不確定。我剛敲了鐘，然後"
020:LS#0207,"抱歉，你不該在這裡。"
020:LS#0207,"請退回下層。"
020:LS#0207,"這是限制區。"
020:LS#0207,"禁止訪客。"
020:LS#0207,"日安，先生 ^"
020:LS#0207,"Stopper。在那邊！我真不敢相信 ^"
020:LS#0207,"找碴是吧？\255\001你馬上就會找到了 ^"
020:LS#0207,"如果Crucible發現他，他不是唯一有麻煩的。"
020:LS#0207,"更別提如果我們進度落後會怎樣。"
020:LS#0207,"聽著，孩子。我們有秘密工作，\255\001而且時間不多。\255\001你懂秘密是什麼意思嗎？"
020:LS#0207,"懂。但我必須 ^"
020:LS#0207,"很好。請走到透鏡那。立刻。"
020:LS#0207,"蠢小鬼。"
020:LS#0207,"你說得對。"
020:LS#0207,"看這！你休想在\255\001不被我們看見的情況下溜走！"
020:LS#0207,"去。別。處。玩。再。見。"
020:LS#0210,"我們尊敬的Mandible主教\255\001看起來真威風，不是嗎？"
020:LS#0210,"我確信Crucible對\255\001向他卑躬屈膝感到厭倦了。"
020:LS#0210,"神職者要占卜水晶球做什麼？"
020:LS#0210,"我以為他們不相信未來。"
020:LS#0210,"我跟你一樣不清楚，Flute。"
020:LS#0210,"但Crucible似乎認為他們又在圖謀不軌。"
020:LS#0210,"那他為什麼還要和他們做生意？"
020:LS#0210,"更別說賣給他們法球了^"
020:LS#0210,"嗯，你了解Crucible的。"
020:LS#0210,"如果有利可圖，\255\001他連自己母親的眼鏡都會賣。"
020:LS#0210,"而且神職者付的是現金。"
020:LS#0210,"^這能讓我們幾年內都不用愁了！"
020:LS#0210,"不過，我很高興\255\001Crucible不願意冒任何風險。"
020:LS#0210,"這把鐮刀可能會變得非常有用"
020:LS#0210,"如果我們的主教朋友\255\001對我們不夠坦白的話。"
020:LS#0210,"哎喲!"
020:LS#0210,"是的，確實非常有用 ^"
020:LS#0211,"如果他們看不見我，那織法就沒用了。"
020:LS#0212,"真高興我已經隱形了。"
020:LS#0214,"那織法對鐘沒用。"
020:LS#0218,"我們尊敬的Mandible主教\255\001看起來真威風，不是嗎？"
020:LS#0218,"我確信Crucible對\255\001向他卑躬屈膝感到厭倦了。"
020:LS#0218,"神職者要占卜水晶球做什麼？"
020:LS#0218,"我以為他們不相信未來。"
020:LS#0218,"我跟你一樣不清楚，Flute。"
020:LS#0218,"但Crucible似乎認為他們又在圖謀不軌。"
020:LS#0218,"那他為什麼還要和他們做生意？"
020:LS#0218,"更別說賣給他們法球了^"
020:LS#0218,"嗯，你了解Crucible的。"
020:LS#0218,"如果有利可圖，\255\001他連自己母親的眼鏡都會賣。"
020:LS#0218,"而且神職者付的是現金。"
020:LS#0218,"^這能讓我們幾年內都不用愁了！"
020:LS#0218,"不過，我很高興\255\001Crucible不願意冒任何風險。"
020:LS#0218,"這把鐮刀可能會變得非常有用"
020:LS#0218,"如果我們的主教朋友\255\001對我們不夠坦白的話。"
020:LS#0218,"哎喲!"
020:LS#0218,"是的，確實非常有用 ^"
022:ON#0330,"聖杯"
022:OC#0330,"嗯。我想知道那條龍\255\001把Bottleblow的其他寶藏帶去哪了。"
022:OC#0330,"嗯。我想知道那條龍\255\001把Bottleblow的其他寶藏帶去哪了。"
022:OC#0330,"它還是空的。"
022:OC#0330,"我已經做過了。"
022:ON#0328,"鐘"
022:OC#0328,"那織法對鐘沒用。"
022:ON#0329,"水晶"
022:SC#0108,"真美！\255\001我從沒見過閃閃發光的東西 ^"
022:SC#0108,"甚至長掛毯也沒有。\255\001那是什麼玻璃？"
022:SC#0108,"你如此不敬地裝滿的那個聖杯\255\001是由一整塊鑽石雕刻而成的。"
022:SC#0108,"它是由一整塊鑽石雕刻而成的。"
022:SC#0108,"但我以為你們是玻璃匠。"
022:SC#0108,"我們是啊。好孩子，這正是\255\001著名的Chromax謎題，"
022:SC#0108,"由我們\255\001傑出的創始人Luscent打造。"
022:SC#0108,"你知道嗎，他的作品曾擺滿整座博物館。"
022:SC#0108,"那是7342年龍到來之前"
022:SC#0108,"她像火炬一樣席捲這座城市，"
022:SC#0108,"融化並摧毀了我們最棒的作品，"
022:SC#0108,"掠奪我們的博物館和金庫，\255\001直到我們一無所有。"
022:SC#0108,"太可怕了，真是段悲慘的時光。"
022:SC#0108,"甚至Bottleblow最偉大的傑作，"
022:SC#0108,"第一個占卜水晶球，也永遠遺失了。"
022:SC#0108,"但你們還有謎題 ^"
022:SC#0108,"很幸運！它當時\255\001借給了酒商公會。\255\003這是我們創始人超凡天才的\255\001唯一倖存作品"
022:SC#0108,"但我很好奇：\255\001為什麼它是鑽石，而不是玻璃？"
022:SC#0108,"我們不知道，一點也不知道。"
022:SC#0108,"這就是謎題所在，你懂吧。"
023:OC#0346,"要去哪裡，小巫師？"
023:OC#0346,"我還不如跟家鄉的長老們在一起！"
023:ON#0347,"牧羊人"
023:ON#0348,"牧羊人"
023:ON#0349,"牧羊人"
023:ON#0350,"牧羊人"
023:LS#0202,"他回來了..."
023:LS#0202,"我們也是..."
023:LS#0209,"我真希望能知道一個\255\001對牧羊人有用的織法.."
023:LS#0210,"嗯，成功了！奇怪，我不覺得可怕^"
023:LS#0212,"站住！是誰？"
023:LS#0212,"哎呀呀^"
023:LS#0212,"^看來是個想溜進我們羊群的瘦小鬼^"
023:LS#0212,"溜？你管那叫溜？"
023:LS#0212,"他從鎮上過來時我就聽到了！"
023:LS#0212,"你想敲詐牧羊人，是嗎？"
023:LS#0212,"也許我們該拿剪刀對付你！"
023:LS#0212,"聽著^我不是來找羊的。"
023:LS#0212,"或找麻煩。"
023:LS#0212,"我在找一群天鵝。"
